
Blender killed
9M (0.00M, Peak 1073.94M) | Time:00:01.83 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car0
Fra:44 Mem:960.49M (0.00M, Peak 1073.94M) | Time:00:02.20 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car1
Fra:44 Mem:979.80M (0.00M, Peak 1076.99M) | Time:00:02.57 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car2
Fra:44 Mem:999.10M (0.00M, Peak 1096.29M) | Time:00:02.94 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car3
Fra:44 Mem:1018.40M (0.00M, Peak 1115.60M) | Time:00:03.29 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car4
Fra:44 Mem:1037.71M (0.00M, Peak 1134.90M) | Time:00:03.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car5
Fra:44 Mem:1057.01M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000004.001
Fra:44 Mem:1057.01M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000003.001
Fra:44 Mem:1057.01M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000002.001
Fra:44 Mem:1057.01M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000001.001
Fra:44 Mem:1057.01M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000000.001
Fra:44 Mem:1057.01M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000038
Fra:44 Mem:1057.01M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000039
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000040
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000041
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000042
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000043
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000044
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000045
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000046
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000047
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000048
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000049
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000050
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000051
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000052
Fra:44 Mem:1057.02M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000053
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000054
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000055
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000056
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000057
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000058
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000059
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.04 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000060
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000061
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000062
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000063
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000064
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000065
Fra:44 Mem:1057.03M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000066
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000067
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000068
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000069
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000070
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000071
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000072
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000073
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000074
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000075
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000076
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000077
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000078
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000079
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000080
Fra:44 Mem:1057.04M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000081
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000082
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000083
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000084
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000085
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000086
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000087
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000088
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000089
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000090
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000091
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000092
Fra:44 Mem:1057.05M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000093
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000094
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000095
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000096
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000097
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000098
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000099
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000100
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000101
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000102
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.05 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000103
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000104
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000105
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000106
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000107
Fra:44 Mem:1057.06M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000108
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000109
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000110
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000111
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000112
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000113
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000114
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000115
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000116
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000117
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000118
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000119
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000120
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000121
Fra:44 Mem:1057.07M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000122
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000123
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000124
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000125
